date	author	section	price	sold
1740-08-22	Molière (Jean-Baptiste Poquelin dit)	parterre	1	156
1740-08-22	Regnard (Jean-François)	parterre	1	156
1740-08-23	Regnard (Jean-François)	parterre	1	49
1740-08-23	Molière (Jean-Baptiste Poquelin dit)	parterre	1	49
1740-08-24	Molière (Jean-Baptiste Poquelin dit)	parterre	1	234
1740-08-24	Du Fresny (Charles)	parterre	1	234
1740-08-25	Du Fresny (Charles)	parterre	1	171
1740-08-25	Dancourt (Florent Carton dit)	parterre	1	171
1740-08-27	Baron (Michel Boyron dit)	parterre	1	396
1740-08-27	Saint-Foix (Germain-François Poullain de)	parterre	1	396
1740-08-28	Molière (Jean-Baptiste Poquelin dit)	parterre	1	70
1740-08-28	Molière (Jean-Baptiste Poquelin dit)	parterre	1	70
1740-08-29	Du Fresny (Charles)	parterre	1	156
1740-08-29	Saint-Foix (Germain-François Poullain de)	parterre	1	156
1740-08-31	Corneille (Thomas)	parterre	1	257
1740-08-31	Fagan (Barthélemy-Christophe)	parterre	1	257
1740-09-01	Quinault (Philippe)	parterre	1	100
1740-09-01	Molière (Jean-Baptiste Poquelin dit)	parterre	1	100
1740-09-03	Voltaire (François-Marie Arouet dit)	parterre	1	374
1740-09-03	Dancourt (Florent Carton dit)	parterre	1	374
1740-09-04	Molière (Jean-Baptiste Poquelin dit)	parterre	1	22
1740-09-04	Brueys (David-Augustin de)	parterre	1	22
1740-09-05	Marivaux (Pierre de)	parterre	1	94
1740-09-05	Du Fresny (Charles)	parterre	1	94
1740-09-06	Molière (Jean-Baptiste Poquelin dit)	parterre	1	30
1740-09-06	Legrand (Marc-Antoine)	parterre	1	30
1740-09-07	Corneille (Pierre)	parterre	1	106
1740-09-07	Du Fresny (Charles)	parterre	1	106
1740-09-10	La Chaussée (Pierre-Claude)	parterre	1	365
1740-09-10	Lesage (Alain-René)	parterre	1	365
1740-09-11	Destouches (Philippe Néricault dit)	parterre	1	75
1740-09-11	Brueys (David-Augustin de)	parterre	1	75
1740-09-12	La Chaussée (Pierre-Claude)	parterre	1	191
1740-09-12	Legrand (Marc-Antoine)	parterre	1	191
1740-09-14	La Chaussée (Pierre-Claude)	parterre	1	188
1740-09-14	La Fontaine (Jean de)	parterre	1	188
1740-09-15	Longepierre (Hilaire-Bernard de)	parterre	1	285
1740-09-15	Montfleury (Antoine Jacob dit)	parterre	1	285
1740-09-17	Destouches	parterre	1	242
1740-09-17	Molière (Jean-Baptiste Poquelin dit)	parterre	1	242
1740-09-18	Longepierre (Hilaire-Bernard de)	parterre	1	265
1740-09-18	Molière (Jean-Baptiste Poquelin dit)	parterre	1	265
1740-09-19	Marivaux (Pierre de)	parterre	1	91
1740-09-19	Molière (Jean-Baptiste Poquelin dit)	parterre	1	91
1740-09-24	Lesage (Alain-René)	parterre	1	152
1740-09-24	Molière (Jean-Baptiste Poquelin dit)	parterre	1	152
1740-09-25	Corneille (Pierre)	parterre	1	177
1740-09-25	Regnard (Jean-François)	parterre	1	177
1740-09-26	Lesage (Alain-René)	parterre	1	77
1740-09-26	Du Fresny (Charles)	parterre	1	77
1740-09-27	Regnard (Jean-François)	parterre	1	59
1740-09-27	Lesage (Alain-René)	parterre	1	59
1740-09-28	Dancourt (Florent Carton dit)	parterre	1	238
1740-09-28	Regnard (Jean-François)	parterre	1	238
1740-09-29	Regnard (Jean-François)	parterre	1	154
1740-09-29	La Fontaine (Jean de)	parterre	1	154
1740-10-01	Dancourt (Florent Carton dit)	parterre	1	259
1740-10-01	Dancourt (Florent Carton dit)	parterre	1	259
1740-10-02	Montfleury (Antoine Jacob dit)	parterre	1	184
1740-10-02	Molière (Jean-Baptiste Poquelin dit)	parterre	1	184
1740-10-03	Dancourt (Florent Carton dit)	parterre	1	232
1740-10-03	Du Fresny (Charles)	parterre	1	232
1740-10-04	Corneille (Pierre)	parterre	1	49
1740-10-04	Regnard (Jean-François)	parterre	1	49
1740-10-05	Dancourt (Florent Carton dit)	parterre	1	311
1740-10-05	Poisson (Philippe)	parterre	1	311
1740-10-08	Regnard (Jean-François)	parterre	1	299
1740-10-08	Poisson (Philippe)	parterre	1	299
1740-10-09	Regnard (Jean-François)	parterre	1	164
1740-10-09	Molière (Jean-Baptiste Poquelin dit)	parterre	1	164
1740-10-10	Regnard (Jean-François)	parterre	1	147
1740-10-10	Poisson (Philippe)	parterre	1	147
1740-10-12	Dancourt (Florent Carton dit)	parterre	1	160
1740-10-12	Poisson (Philippe)	parterre	1	160
1740-10-13	Montfleury (Antoine Jacob dit)	parterre	1	139
1740-10-13	La Fontaine (Jean de)	parterre	1	139
1740-10-15	Regnard (Jean-François)	parterre	1	205
1740-10-15	Poisson (Philippe)	parterre	1	205
1740-10-16	Campistron (Jean Galbert de)	parterre	1	229
