author	title	genre	acts	prose_vers	prologue	musique_danse_machine	date_de_creation
Châteaubrun (Jean-Baptiste Vivien de)	Astyanax	tragédie	5	vers	f	f	1756-01-05
Châteaubrun (Jean-Baptiste Vivien de)	Philoctète	tragédie	5	vers	f	f	1755-03-01
Châteaubrun (Jean-Baptiste Vivien de)	Troyennes (Les)	tragédie	5	vers	f	f	1754-03-11
Chénier (Marie-Joseph de)	Azémire	tragédie	5	vers	f	f	
Chénier (Marie-Joseph de)	Charles IX ou l'École des rois	tragédie	5	vers	f	f	1789-11-04
Chénier (Marie-Joseph de)	Edgar ou le Page supposé	comédie	2	vers	f	f	1785-11-14
Claret de Fleurieu (Aglaé Deslacs, comtesse)	Pauline	comédie	2	vers	f	f	1791-07-02
Clément (Jean Marie Bernard)	Médée	tragédie	3	vers	f	f	1779-02-20
Colardeau (Charles-Pierre)	Astarbé	tragédie	5	vers	f	f	1758-02-27
Colardeau (Charles-Pierre)	Caliste	tragédie	5	vers	f	f	1760-11-12
Collet de Messine (Jean-Baptiste)	Abdolonime ou le Roi berger	comédie héroïque	3	vers	f	f	1776-03-06
Collet de Messine (Jean-Baptiste)	Île déserte (L')	comédie	1	vers	f	f	
Collin d'Harleville (Jean-François)	Châteaux en Espagne (Les)	comédie	5	vers	f	f	1789-02-20
Collin d'Harleville (Jean-François)	Inconstant (L')	comédie	5	vers	f	f	
Collin d'Harleville (Jean-François)	Monsieur de Crac dans son petit castel ou les Gascons	comédie	1	vers	f	t	1791-03-04
Collin d'Harleville (Jean-François)	Optimiste ou l'Homme content de tout (L')	comédie	5	vers	f	f	1788-02-22
Collin d'Harleville (Jean-François)	Vieux célibataire (Le)	comédie	5	vers	f	f	1792-02-24
Collot d'Herbois	Il y a une bonne justice ou le Paysan magistrat	drame	5	prose	f	f	1789-12-07
Collé (Charles)	Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais	comédie	3	vers libres	f	f	1763-01-17
Collé (Charles)	Partie de chasse de Henri IV (La)	comédie	3	prose	f	f	
Collé (Charles)	Veuve (La)	comédie	1	prose	f	f	1770-12-29
Colomb de Seillans	Gageure de Village (La)	comédie	1	prose	f	t	1756-05-26
Cordier de Saint-Firmin (Edmond)	Zarucma	tragédie	5	vers	f	f	1762-03-17
Corneille (Pierre)	Agésilas	tragédie	5	vers	f	f	
Corneille (Pierre)	Andromède	tragédie	5	vers	t	t	
Corneille (Pierre)	Attila, roi des Huns	tragédie	5	vers	f	f	
Corneille (Pierre)	Cid (Le)	tragi-comédie / tragédie	5	vers	f	f	
Corneille (Pierre)	Cinna ou la Clémence d'Auguste	tragédie	5	vers	f	f	
Corneille (Pierre)	Don Sanche d'Aragon	comédie héroïque	5	vers	f	f	
Corneille (Pierre)	Horace ou Les Horaces	tragédie	5	vers	f	f	
Corneille (Pierre)	Héraclius, empereur d'Orient	tragédie	5	vers	f	f	
Corneille (Pierre)	Menteur (Le)	comédie	5	vers	f	f	
Corneille (Pierre)	Mort de Pompée (La)	tragédie	5	vers	f	f	
Corneille (Pierre)	Médée	tragédie	5	vers	f	f	
Corneille (Pierre)	Nicomède	tragédie	5	vers	f	f	
Corneille (Pierre)	Othon	tragédie	5	vers	f	f	
Corneille (Pierre)	Polyeucte, martyr 	tragédie	5	vers	f	f	
Corneille (Pierre)	Rodogune ou Rodogune, princesse des Parthes	tragédie	5	vers	f	f	
Corneille (Pierre)	Sertorius	tragédie	5	vers	f	f	
