date	author	title	ordering	register_num	receipts	representation	signatory	ouverture	cloture	free_access	firstrun	firstrun_perfnum	reprise	reprise_perfnum	newactor	actorrole	debut	ex_attendance	ex_representation	ex_place	image_volume	image_page
1773-06-07	Corneille (Thomas)	Ariane	1	47		7	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	101
1773-06-07	Du Fresny (Charles)	Dédit (Le)	2	47		7	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	101
1773-06-09	Bauvin (Jean-Grégoire)	Chérusques (Les)	1	48		8	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	103
1773-06-09	Voltaire (François-Marie Arouet dit)	Nanine ou le Préjugé vaincu	2	48		8	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	103
1773-06-11	Diderot (Denis)	Père de famille (Le)	1	49		9	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	105
1773-06-11	Racine (Jean)	Plaideurs (Les)	2	49		9	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	105
1773-06-12	Corneille (Pierre)	Nicomède	1	50		10	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	107
1773-06-12	Dancourt (Florent Carton dit)	Mari retrouvé (Le)	2	50		10	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	107
1773-06-13	Brueys (David-Augustin de)	Muet (Le)	1	51		11	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	109
1773-06-13	Hauteroche (Noël Lebreton, sieur de)	Cocher supposé (Le)	2	51		11	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	109
1773-06-14	Racine (Jean)	Iphigénie ou Iphigénie en Aulide	1	52		12	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	111
1773-06-14	Lesage (Alain-René)	Crispin rival de son maître	2	52		12	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	111
1773-06-16	Corneille (Thomas)	Comte d'Essex (Le)	1	53		13	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	113
1773-06-16	Rochon de Chabannes (Marc-Antoine-Jacques)	Hylas et Sylvie	2	53		13	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	113
1773-06-17	Voltaire (François-Marie Arouet dit)	Enfant prodigue ou L'École de la jeunesse (L')	1	54		14	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	115
1773-06-17	Dancourt (Florent Carton dit)	Vendanges de Suresnes (Les)	2	54		14	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	115
1773-06-18	Campistron (Jean Galbert de)	Jaloux désabusé (Le)	1	55		15	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	117
1773-06-18	Legrand (Marc-Antoine)	Galant coureur ou l'Ouvrage d'un moment (Le)	2	55		15	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	117
1773-06-19	Voltaire (François-Marie Arouet dit)	Alzire ou les Américains	1	56		16	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	119
1773-06-19	Rochon de Chabannes (Marc-Antoine-Jacques)	Hylas et Sylvie	2	56		16	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	119
1773-06-20	Corneille (Pierre)	Menteur (Le)	1	57		17	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	121
1773-06-20	Dancourt (Florent Carton dit)	Curieux de Compiègne (Les) ou Les Camps de Compiègne	2	57		17	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	121
1773-06-21	Guimond de La Touche (Claude)	Iphigénie en Tauride	1	58		18	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	123
1773-06-21	Fagan (Barthélemy-Christophe)	Pupille (La)	2	58		18	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	123
1773-06-23	Belloy (Pierre Laurent de)	Siège de Calais (Le)	1	59		19	Dauberval & Dalainval	f	f	f	f		f		""	""		""	""	""	138	125
1773-06-23	Marivaux (Pierre de)	Legs (Le)	2	59		19	Dauberval & Dalainval	f	f	f	f		f		""	""		""	""	""	138	125
1773-06-24	Boursault (Edme)	Ésope à la cour	1	60		20	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	127
1773-06-24	Dancourt (Florent Carton dit)	Tuteur amoureux (Le) ou Le Tuteur	2	60		20	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	127
1773-06-26	Piron (Alexis)	Gustave Wasa	1	61		21	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	129
1773-06-26	Rochon de Chabannes (Marc-Antoine-Jacques)	Heureusement	2	61		21	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	129
1773-06-27	Molière (Jean-Baptiste Poquelin dit)	Étourdi ou les Contretemps (L')	1	62		22	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	131
1773-06-27	Dancourt (Florent Carton dit)	Mari retrouvé (Le)	2	62		22	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	131
1773-06-28	Racine (Jean)	Andromaque	1	63		23	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	133
1773-06-28	Boissy (Louis de)	Français à Londres (Le)	2	63		23	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	133
